n,nombre_ejercicio,confianza,archivo
89,"(sin asignar - revisar a mano)",baja,089-SIN-ASIGNAR.jpg
90,"Prensa 45",media,090-prensa-45.jpg
91,"Extension de triceps en polea",media,091-extension-de-triceps-en-polea.jpg
92,"Caminata con estocadas",media,092-caminata-con-estocadas.jpg
93,"Hip Thrust",media,093-hip-thrust-2.jpg
94,"Curl femoral tumbado",alta,094-curl-femoral-tumbado.jpg
95,"Curl alternado",media,095-curl-alternado.jpg
96,"(sin asignar - revisar a mano)",baja,096-SIN-ASIGNAR.jpg
97,"Curl femoral sentado",alta,097-curl-femoral-sentado.jpg
98,"Curl concentrado",media,098-curl-concentrado-2.jpg
99,"Jalon agarre cerrado",media,099-jalon-agarre-cerrado.jpg
100,"Curl martillo",media,100-curl-martillo.jpg
101,"Sissy Squat",media,101-sissy-squat.jpg
102,"(sin asignar - revisar a mano)",baja,102-SIN-ASIGNAR.jpg
103,"Curl femoral sentado",media,103-curl-femoral-sentado-2.jpg
104,"Push Press",media,104-push-press.jpg
105,"Patada de gluteo",alta,105-patada-de-gluteo-4.jpg
106,"Press frances",media,106-press-frances.jpg
107,"(sin asignar - revisar a mano)",baja,107-SIN-ASIGNAR.jpg
108,"Peso muerto rumano",media,108-peso-muerto-rumano-3.jpg
